document_type,mof_field_id,mof_business_term,source_template,source_column,internal_field_key,dr_id,classification,transformation_rule,status,notes
tax,1,Invoice number,invoice_headers_template.csv,invoice_number,invoice_number,IBT-001,direct,Read invoice number from headers.invoice_number,covered,
tax,2,Invoice date,invoice_headers_template.csv,issue_date,issue_date,IBT-002,direct,Read invoice date from headers.issue_date,covered,
tax,3,Invoice type code,invoice_headers_template.csv,invoice_type,invoice_type,IBT-003,direct,Read invoice type code from headers.invoice_type,covered,
tax,4,Invoice currency code,invoice_headers_template.csv,currency,currency,IBT-005,direct,Read invoice currency code from headers.currency,covered,
tax,5,Invoice transaction type code,invoice_headers_template.csv,transaction_type_code,transaction_type_code,BTUAE-02,direct,Read transaction type code from headers.transaction_type_code,covered,
tax,6,Payment due date,invoice_headers_template.csv,payment_due_date,payment_due_date,IBT-009,direct,Read payment due date from headers.payment_due_date,covered,
tax,7,Business process type,invoice_headers_template.csv,,business_process,IBT-023,generated,Set business process from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
tax,8,Specification identifier,invoice_headers_template.csv,,spec_id,IBT-024,generated,Set specification identifier from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
tax,9,Payment means type code,invoice_headers_template.csv,payment_means_code,payment_means_code,IBT-081,direct,Read payment means code from headers.payment_means_code,covered,
tax,10,Seller name,invoice_headers_template.csv,seller_name,seller_name,IBT-027,direct,Read seller name from headers.seller_name,covered,
tax,11,Seller electronic address,invoice_headers_template.csv,seller_electronic_address,seller_electronic_address,IBT-034,direct,Read seller electronic address from headers.seller_electronic_address,covered,
tax,12,Seller electronic identifier,invoice_headers_template.csv,,,IBT-034-1,generated,Derive seller electronic identifier metadata from endpoint and scheme rules (ASP-owned),partially_covered,
tax,13,Seller legal registration identifier,invoice_headers_template.csv,seller_legal_reg_id,seller_legal_reg_id,IBT-030,direct,Read seller legal registration identifier from headers.seller_legal_reg_id,covered,
tax,14,Seller legal registration identifier type,invoice_headers_template.csv,seller_legal_reg_id_type,seller_legal_reg_id_type,BTUAE-15,direct,Read seller legal registration identifier type from headers.seller_legal_reg_id_type,covered,
tax,15,Seller tax identifier,invoice_headers_template.csv,seller_trn,seller_trn,IBT-031,direct,Read seller tax identifier from headers.seller_trn,covered,
tax,16,Seller tax scheme code,invoice_headers_template.csv,,,IBT-031-1,generated,Generate seller tax scheme code (e.g. VAT) from jurisdiction policy,partially_covered,
tax,17,Seller address line 1,invoice_headers_template.csv,seller_address,seller_address,IBT-035,direct,Read seller address line from headers.seller_address,covered,
tax,18,Seller city,invoice_headers_template.csv,seller_city,seller_city,IBT-037,direct,Read seller city from headers.seller_city,covered,
tax,19,Seller country subdivision,invoice_headers_template.csv,seller_subdivision,seller_subdivision,IBT-039,direct,Read seller country subdivision from headers.seller_subdivision,covered,
tax,20,Seller country code,invoice_headers_template.csv,seller_country,seller_country,IBT-040,direct,Read seller country code from headers.seller_country,covered,
tax,21,Buyer name,buyers_template.csv,buyer_name,buyer_name,IBT-044,direct,Read buyer name from buyers.buyer_name,covered,
tax,22,Buyer electronic address,buyers_template.csv,buyer_electronic_address,buyer_electronic_address,IBT-049,direct,Read buyer electronic address from buyers.buyer_electronic_address,covered,
tax,23,Buyer electronic identifier,buyers_template.csv,buyer_id,buyer_id,IBT-049-1,generated,Use buyer_id as join key; derive electronic identifier metadata as ASP-owned value,partially_covered,
tax,24,Buyer tax identifier,buyers_template.csv,buyer_trn,buyer_trn,IBT-048,direct,Read buyer tax identifier from buyers.buyer_trn,covered,
tax,25,Buyer tax scheme code,buyers_template.csv,,buyer_tax_scheme_code,IBT-048-1,generated,Generate buyer tax scheme code from policy default (VAT),partially_covered,
tax,26,Buyer address line 1,buyers_template.csv,buyer_address,buyer_address,IBT-050,direct,Read buyer address line from buyers.buyer_address,covered,
tax,27,Buyer city,buyers_template.csv,buyer_city,buyer_city,IBT-052,direct,Read buyer city from buyers.buyer_city,covered,
tax,28,Buyer country subdivision,buyers_template.csv,buyer_subdivision,buyer_subdivision,IBT-054,direct,Read buyer country subdivision from buyers.buyer_subdivision,covered,
tax,29,Buyer country code,buyers_template.csv,buyer_country,buyer_country,IBT-055,direct,Read buyer country code from buyers.buyer_country,covered,
tax,30,Sum of invoice line net amount,invoice_headers_template.csv|invoice_lines_template.csv,total_excl_vat|line_total_excl_vat,total_excl_vat|line_total_excl_vat,IBT-106,aggregated,Compute sum(lines.line_total_excl_vat) and reconcile with headers.total_excl_vat,covered,
tax,31,Invoice total amount without tax,invoice_headers_template.csv,total_excl_vat,total_excl_vat,IBT-109,direct,Read invoice total without tax from headers.total_excl_vat,covered,
tax,32,Invoice total tax amount,invoice_headers_template.csv,vat_total,vat_total,IBT-110,direct,Read invoice total tax amount from headers.vat_total,covered,
tax,33,Invoice total amount with tax,invoice_headers_template.csv,total_incl_vat,total_incl_vat,IBT-112,direct,Read invoice total amount with tax from headers.total_incl_vat,covered,
tax,34,Amount due for payment,invoice_headers_template.csv,amount_due,amount_due,IBT-115,direct,Read amount due for payment from headers.amount_due,covered,
tax,35,Tax category taxable amount,invoice_headers_template.csv|invoice_lines_template.csv,total_excl_vat|line_total_excl_vat|tax_category_code,total_excl_vat|line_total_excl_vat|tax_category_code,IBT-116,aggregated,Derive taxable amount by tax category from line net amounts (or reconciled header total),partially_covered,"Current runtime bridge maps field 35 to tax_category_code, which is semantically incomplete."
tax,36,Tax category tax amount,invoice_headers_template.csv|invoice_lines_template.csv,vat_total|vat_amount|tax_category_code,vat_total|vat_amount|tax_category_code,IBT-117,aggregated,Derive tax amount by tax category from line VAT amounts and reconcile to header vat_total,partially_covered,
tax,37,Tax category code,invoice_headers_template.csv|invoice_lines_template.csv,tax_category_code,tax_category_code,IBT-118,repeated,Use tax category code from header and line contexts as required by target nodes,covered,
tax,38,Tax category rate,invoice_headers_template.csv|invoice_lines_template.csv,tax_category_rate|vat_rate,tax_category_rate|vat_rate,IBT-119|IBT-152,repeated,Use tax category rate from header summary and/or line VAT rate in tax breakdown nodes,partially_covered,Priority gap: MoF overlay map currently omits field 38 linkage.
tax,39,Invoice line identifier,invoice_lines_template.csv,line_id|line_number,line_id|line_number,IBT-126,direct,Read invoice line identifier from lines.line_id/line_number,covered,
tax,40,Invoiced quantity,invoice_lines_template.csv,quantity,quantity,IBT-129,direct,Read invoiced quantity from lines.quantity,covered,
tax,41,Unit of measure code,invoice_lines_template.csv,unit_of_measure,unit_of_measure,IBT-130,direct,Read unit of measure code from lines.unit_of_measure,covered,
tax,42,Invoice line net amount,invoice_lines_template.csv,line_total_excl_vat,line_total_excl_vat,IBT-131,direct,Read invoice line net amount from lines.line_total_excl_vat,covered,
tax,43,Item net price,invoice_lines_template.csv,unit_price,unit_price,IBT-146,direct,Read item net price from lines.unit_price,covered,
tax,44,Item gross price,invoice_lines_template.csv,unit_price|line_allowance_amount|line_charge_amount,unit_price|line_allowance_amount|line_charge_amount,IBT-148,derived,Derive gross price from unit price and line-level charges/allowances when available,partially_covered,
tax,45,Item price base quantity,invoice_lines_template.csv,,line_base_quantity,IBT-149,generated,Generate price base quantity (typically 1) when not supplied,missing,No explicit source column or transformation contract is implemented.
tax,46,Invoiced item tax category code,invoice_lines_template.csv,tax_category_code,tax_category_code,IBT-151,direct,Read invoiced item tax category code from lines.tax_category_code,covered,
tax,47,Invoiced item tax rate,invoice_lines_template.csv,vat_rate,vat_rate,IBT-152,direct,Read invoiced item tax rate from lines.vat_rate,covered,
tax,48,VAT line amount in AED,invoice_lines_template.csv|invoice_headers_template.csv,vat_amount|fx_rate|currency,vat_amount|fx_rate|currency,BTUAE-08,derived,Use line VAT amount directly when currency is AED; otherwise derive AED amount using fx_rate,partially_covered,Collision risk with commercial field 48 if keyed by field_id only.
tax,49,Invoice line amount in AED,invoice_lines_template.csv|invoice_headers_template.csv,line_total_excl_vat|vat_amount|fx_rate|currency,line_total_excl_vat|vat_amount|fx_rate|currency,,derived,Derive invoice line amount in AED from line totals and currency conversion policy,missing,Priority gap: no explicit transform contract in current runtime mapping.
tax,50,Item name,invoice_lines_template.csv,item_name|description,item_name|description,IBT-154,derived,Use lines.item_name when present; fallback to lines.description alias,partially_covered,Priority alignment: current overlay mapping swaps 50/51.
tax,51,Item description,invoice_lines_template.csv,description|item_name,description|item_name,IBT-153,repeated,Use lines.description as item description; fallback from item_name alias when needed,partially_covered,Priority alignment: current overlay mapping swaps 50/51.
commercial,1,Invoice number,invoice_headers_template.csv,invoice_number,invoice_number,IBT-001,direct,Read invoice number from headers.invoice_number,covered,
commercial,2,Invoice date,invoice_headers_template.csv,issue_date,issue_date,IBT-002,direct,Read invoice date from headers.issue_date,covered,
commercial,3,Invoice type code,invoice_headers_template.csv,invoice_type,invoice_type,IBT-003,direct,Read invoice type code from headers.invoice_type,covered,
commercial,4,Invoice currency code,invoice_headers_template.csv,currency,currency,IBT-005,direct,Read invoice currency code from headers.currency,covered,
commercial,5,Invoice transaction type code,invoice_headers_template.csv,transaction_type_code,transaction_type_code,BTUAE-02,direct,Read transaction type code from headers.transaction_type_code,covered,
commercial,6,Payment due date,invoice_headers_template.csv,payment_due_date,payment_due_date,IBT-009,direct,Read payment due date from headers.payment_due_date,covered,
commercial,7,Business process type,invoice_headers_template.csv,,business_process,IBT-023,generated,Set business process from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
commercial,8,Specification identifier,invoice_headers_template.csv,,spec_id,IBT-024,generated,Set specification identifier from system default/config; not supplied as required template column,partially_covered,Commercial literals pending confirmation in MoF source schema.
commercial,9,Payment means type code,invoice_headers_template.csv,payment_means_code,payment_means_code,IBT-081,direct,Read payment means code from headers.payment_means_code,covered,
commercial,10,Seller name,invoice_headers_template.csv,seller_name,seller_name,IBT-027,direct,Read seller name from headers.seller_name,covered,
commercial,11,Seller electronic address,invoice_headers_template.csv,seller_electronic_address,seller_electronic_address,IBT-034,direct,Read seller electronic address from headers.seller_electronic_address,covered,
commercial,12,Seller electronic identifier,invoice_headers_template.csv,,,IBT-034-1,generated,Derive seller electronic identifier metadata from endpoint and scheme rules (ASP-owned),partially_covered,
commercial,13,Seller legal registration identifier,invoice_headers_template.csv,seller_legal_reg_id,seller_legal_reg_id,IBT-030,direct,Read seller legal registration identifier from headers.seller_legal_reg_id,covered,
commercial,14,Seller legal registration identifier type,invoice_headers_template.csv,seller_legal_reg_id_type,seller_legal_reg_id_type,BTUAE-15,direct,Read seller legal registration identifier type from headers.seller_legal_reg_id_type,covered,
commercial,15,Seller tax identifier,invoice_headers_template.csv,seller_trn,seller_trn,IBT-031,direct,Read seller tax identifier from headers.seller_trn,covered,
commercial,16,Seller tax scheme code,invoice_headers_template.csv,,,IBT-031-1,generated,Generate seller tax scheme code (e.g. VAT) from jurisdiction policy,partially_covered,
commercial,17,Seller address line 1,invoice_headers_template.csv,seller_address,seller_address,IBT-035,direct,Read seller address line from headers.seller_address,covered,
commercial,18,Seller city,invoice_headers_template.csv,seller_city,seller_city,IBT-037,direct,Read seller city from headers.seller_city,covered,
commercial,19,Seller country subdivision,invoice_headers_template.csv,seller_subdivision,seller_subdivision,IBT-039,direct,Read seller country subdivision from headers.seller_subdivision,covered,
commercial,20,Seller country code,invoice_headers_template.csv,seller_country,seller_country,IBT-040,direct,Read seller country code from headers.seller_country,covered,
commercial,21,Buyer name,buyers_template.csv,buyer_name,buyer_name,IBT-044,direct,Read buyer name from buyers.buyer_name,covered,
commercial,22,Buyer electronic address,buyers_template.csv,buyer_electronic_address,buyer_electronic_address,IBT-049,direct,Read buyer electronic address from buyers.buyer_electronic_address,covered,
commercial,23,Buyer electronic identifier,buyers_template.csv,buyer_id,buyer_id,IBT-049-1,generated,Use buyer_id as join key; derive electronic identifier metadata as ASP-owned value,partially_covered,
commercial,24,Buyer legal registration identifier,buyers_template.csv,buyer_trn,buyer_trn,,derived,Map buyer legal registration identifier from available buyer identity field when legal ID is absent,partially_covered,"Semantic collision with tax field 24: same ID, different meaning."
commercial,25,Buyer legal registration identifier type,buyers_template.csv,,buyer_legal_reg_id_type,,generated,Set buyer legal registration identifier type from explicit source or approved default policy,missing,"Semantic collision with tax field 25: same ID, different meaning."
commercial,26,Buyer address line 1,buyers_template.csv,buyer_address,buyer_address,IBT-050,direct,Read buyer address line from buyers.buyer_address,covered,
commercial,27,Buyer city,buyers_template.csv,buyer_city,buyer_city,IBT-052,direct,Read buyer city from buyers.buyer_city,covered,
commercial,28,Buyer country subdivision,buyers_template.csv,buyer_subdivision,buyer_subdivision,IBT-054,direct,Read buyer country subdivision from buyers.buyer_subdivision,covered,
commercial,29,Buyer country code,buyers_template.csv,buyer_country,buyer_country,IBT-055,direct,Read buyer country code from buyers.buyer_country,covered,
commercial,30,Sum of invoice line net amount,invoice_headers_template.csv|invoice_lines_template.csv,total_excl_vat|line_total_excl_vat,total_excl_vat|line_total_excl_vat,IBT-106,aggregated,Compute sum(lines.line_total_excl_vat) and reconcile with headers.total_excl_vat,covered,
commercial,31,Invoice total amount without tax,invoice_headers_template.csv,total_excl_vat,total_excl_vat,IBT-109,direct,Read invoice total without tax from headers.total_excl_vat,covered,
commercial,32,Invoice total tax amount,invoice_headers_template.csv,vat_total,vat_total,IBT-110,direct,Read invoice total tax amount from headers.vat_total,covered,
commercial,33,Invoice total amount with tax,invoice_headers_template.csv,total_incl_vat,total_incl_vat,IBT-112,direct,Read invoice total amount with tax from headers.total_incl_vat,covered,
commercial,34,Amount due for payment,invoice_headers_template.csv,amount_due,amount_due,IBT-115,direct,Read amount due for payment from headers.amount_due,covered,
commercial,35,Tax category taxable amount,invoice_headers_template.csv|invoice_lines_template.csv,total_excl_vat|line_total_excl_vat|tax_category_code,total_excl_vat|line_total_excl_vat|tax_category_code,IBT-116,aggregated,Derive taxable amount by tax category from line net amounts (or reconciled header total),partially_covered,"Current runtime bridge maps field 35 to tax_category_code, which is semantically incomplete."
commercial,36,Tax category tax amount,invoice_headers_template.csv|invoice_lines_template.csv,vat_total|vat_amount|tax_category_code,vat_total|vat_amount|tax_category_code,IBT-117,aggregated,Derive tax amount by tax category from line VAT amounts and reconcile to header vat_total,partially_covered,
commercial,37,Tax category code,invoice_headers_template.csv|invoice_lines_template.csv,tax_category_code,tax_category_code,IBT-118,repeated,Use tax category code from header and line contexts as required by target nodes,covered,
commercial,38,Tax category rate,invoice_headers_template.csv|invoice_lines_template.csv,tax_category_rate|vat_rate,tax_category_rate|vat_rate,IBT-119|IBT-152,repeated,Use tax category rate from header summary and/or line VAT rate in tax breakdown nodes,partially_covered,Priority gap: MoF overlay map currently omits field 38 linkage.
commercial,39,Invoice line identifier,invoice_lines_template.csv,line_id|line_number,line_id|line_number,IBT-126,direct,Read invoice line identifier from lines.line_id/line_number,covered,
commercial,40,Invoiced quantity,invoice_lines_template.csv,quantity,quantity,IBT-129,direct,Read invoiced quantity from lines.quantity,covered,
commercial,41,Unit of measure code,invoice_lines_template.csv,unit_of_measure,unit_of_measure,IBT-130,direct,Read unit of measure code from lines.unit_of_measure,covered,
commercial,42,Invoice line net amount,invoice_lines_template.csv,line_total_excl_vat,line_total_excl_vat,IBT-131,direct,Read invoice line net amount from lines.line_total_excl_vat,covered,
commercial,43,Item net price,invoice_lines_template.csv,unit_price,unit_price,IBT-146,direct,Read item net price from lines.unit_price,covered,
commercial,44,Item gross price,invoice_lines_template.csv,unit_price|line_allowance_amount|line_charge_amount,unit_price|line_allowance_amount|line_charge_amount,IBT-148,derived,Derive gross price from unit price and line-level charges/allowances when available,partially_covered,
commercial,45,Item price base quantity,invoice_lines_template.csv,,line_base_quantity,IBT-149,generated,Generate price base quantity (typically 1) when not supplied,missing,No explicit source column or transformation contract is implemented.
commercial,46,Invoiced item tax category code,invoice_lines_template.csv,tax_category_code,tax_category_code,IBT-151,direct,Read invoiced item tax category code from lines.tax_category_code,covered,
commercial,47,Invoiced item tax rate,invoice_lines_template.csv,vat_rate,vat_rate,IBT-152,direct,Read invoiced item tax rate from lines.vat_rate,covered,
commercial,48,Item name,invoice_lines_template.csv,item_name|description,item_name|description,IBT-154,derived,Use lines.item_name when present; fallback to lines.description alias,partially_covered,Priority gap: currently conflated with tax field 48 when keyed by numeric ID only.
commercial,49,Item description,invoice_lines_template.csv,description|item_name,description|item_name,IBT-153,repeated,Use lines.description as item description; fallback from item_name alias when needed,partially_covered,Priority gap: commercial field 49 currently not linked correctly in MoF overlay/bridge.
